"Weekly Mumps Incidence, 1968-2003"
"Data provided by Project Tycho, Data Version 1.0.0, released 28 November 2013."
YEAR,WEEK,ALABAMA,ALASKA,ARIZONA,ARKANSAS,CALIFORNIA,COLORADO,CONNECTICUT,DELAWARE,DISTRICT OF COLUMBIA,FLORIDA,GEORGIA,HAWAII,IDAHO,ILLINOIS,INDIANA,IOWA,KANSAS,KENTUCKY,LOUISIANA,MAINE,MARYLAND,MASSACHUSETTS,MICHIGAN,MINNESOTA,MISSISSIPPI,MISSOURI,MONTANA,NEBRASKA,NEVADA,NEW HAMPSHIRE,NEW JERSEY,NEW MEXICO,NEW YORK,NORTH CAROLINA,NORTH DAKOTA,OHIO,OKLAHOMA,OREGON,PENNSYLVANIA,RHODE ISLAND,SOUTH CAROLINA,SOUTH DAKOTA,TENNESSEE,TEXAS,UTAH,VERMONT,VIRGINIA,WASHINGTON,WEST VIRGINIA,WISCONSIN,WYOMING
1969,2,0.35,12.84,1.55,2.20,0.67,0.78,2.30,-,-,0.17,-,1.87,0.14,0.14,0.82,7.77,-,0.94,0.06,4.94,0.34,1.84,1.07,0.03,0.09,0.02,2.59,0.75,-,0.14,0.13,2.37,-,-,4.19,0.38,0.36,0.78,-,5.79,0.43,-,1.33,1.91,1.72,43.25,0.13,-,1.32,4.27,-
1969,3,0.17,0.34,2.01,-,1.30,1.80,2.87,-,-,0.32,-,0.27,3.82,1.36,1.87,5.60,-,0.91,-,3.63,0.41,2.60,1.07,0.82,0.27,0.11,7.64,0.75,-,1.80,0.76,6.33,-,-,1.29,0.52,-,0.87,-,8.48,1.17,-,0.85,2.04,0.29,1.60,0.43,3.20,2.29,8.06,-
1969,4,0.41,7.77,1.96,0.05,1.03,-,4.00,0.19,0.13,0.24,-,0.53,0.42,0.32,0.80,6.67,0.13,2.06,0.25,4.74,0.39,2.65,0.88,0.51,0.09,0.11,2.16,0.61,-,0.14,0.39,3.26,-,-,1.93,0.43,1.22,0.24,-,2.58,0.51,-,1.08,2.65,0.10,9.84,0.30,5.00,2.00,6.17,-
1969,5,0.81,1.01,2.76,0.16,1.42,1.57,3.23,1.11,-,0.59,-,1.47,-,0.38,0.27,6.70,0.09,0.50,0.11,2.82,0.28,1.84,1.12,0.35,0.14,0.04,3.60,1.97,-,0.97,0.70,4.65,-,-,3.54,0.37,-,1.31,-,4.83,1.17,-,0.62,2.02,0.19,8.92,-,2.48,3.09,6.24,-
1969,6,0.09,14.19,2.59,0.05,1.35,0.65,3.50,-,0.79,0.92,-,2.27,0.28,0.59,2.20,10.55,-,1.38,0.03,3.12,0.31,2.58,1.83,1.04,0.27,0.02,4.47,0.07,-,-,0.66,1.29,-,-,4.03,0.62,0.55,0.19,-,2.79,0.62,-,1.31,1.92,0.38,9.15,0.54,2.24,2.52,7.04,0.30
1969,7,0.12,0.34,2.71,0.58,1.18,1.39,2.20,0.74,-,0.66,-,1.33,0.42,0.91,1.36,7.81,-,1.28,-,3.12,0.23,2.18,1.42,-,0.05,0.04,2.31,0.68,-,-,0.80,5.93,-,-,1.93,0.34,0.20,0.15,-,-,0.16,-,0.95,2.44,0.57,25.17,0.26,5.20,3.49,4.41,-
1969,8,0.12,19.93,3.91,-,1.38,2.08,4.30,0.19,-,0.12,-,1.73,1.70,0.61,1.57,7.88,0.31,1.97,-,0.30,0.23,1.61,2.14,1.89,-,0.24,1.59,0.61,-,-,0.49,1.98,-,-,1.29,0.38,0.32,0.97,-,-,0.97,-,0.67,2.63,0.48,6.18,0.46,3.65,2.75,7.38,-
1969,9,-,1.35,2.76,0.21,1.29,0.97,4.97,0.37,-,1.25,-,3.73,1.27,0.62,0.84,4.85,-,2.10,-,2.52,0.26,1.70,1.57,0.05,-,0.24,8.36,0.14,-,0.14,1.00,0.79,-,-,2.09,0.37,0.36,1.07,-,3.65,0.54,-,1.21,3.37,0.19,10.07,0.41,-,4.01,6.67,-
1969,10,0.15,1.01,5.12,0.10,1.99,0.83,2.30,0.56,0.79,0.92,-,1.33,0.99,1.37,0.89,12.80,1.16,1.94,0.03,2.12,0.26,2.62,1.95,1.65,0.14,0.26,2.16,0.27,-,1.24,0.82,2.97,-,-,1.29,0.58,0.04,0.82,-,5.04,0.82,-,1.85,2.97,0.29,4.58,0.22,5.62,5.21,6.35,0.61
1969,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
